,Range,Names,Country,Performances,Null,Nb,City,Date,Year,Sex
1928,3 ,Henrik Kalocsai,HUN ,16.73,,1,Budapest,Jun 18,1967,M
1929,4 ,Jan Jaskolski,POL ,16.72,,1,Sofia,Jun 4,1967,M
1930,5 ,Vladimir Kurkevich,URS ,16.69,A,1,Leninakan,Oct 2,1967,M
1931,6 ,Viktor Saneyev,URS ,16.67,,1,Kiev,Sep 17,1967,M
1932,7 ,Michael Sauer,FRG ,16.65,,1,Stuttgart,Aug 6,1967,M
1933,8 ,Serban Ciochina,ROU ,16.59,,2,Sofia,Jun 4,1967,M
1934,9 ,Hans-Jürgen Rückborn,GDR ,16.57,,3,Sofia,Jun 4,1967,M
1935,10 ,Nikolay Dudkin,URS ,16.56,,1,Moscow,Aug 3,1967,M
1936,11 ,Art Walker,USA ,16.48,,1,Los Angeles,Jul 02,1967,M
1937,11 ,Mansour Dia,SEN ,16.48,A,2,Mexico City,Oct 15,1967,M
1938,13 ,Viktor Kravchenko,URS ,16.46,,2,Moscow,Aug 03,1967,M
1939,14 ,Anatoliy Kaynov,URS ,16.39,,1,Minsk,Aug 11,1967,M
1940,15 ,Satoshi Shimo,JPN ,16.36,,1,Shizuoka,Apr 30,1967,M
1941,15 ,Siegfried Dähne,GDR ,16.36,,1,Leipzig,Sep 02,1967,M
1942,15 ,Zoltan Cziffra,HUN ,16.36,,1,Sochi,Nov 19,1967,M
1943,18 ,Yukito Muraki,JPN ,16.34,,1,Odawara,Jul 16,1967,M
1944,18 ,Petr Nemsovský,TCH ,16.34,,2,Ostrava,Jul 23,1967,M
1945,20 ,Dragan Ivanov,HUN ,16.33,,5,Sofia,Jun 04,1967,M
1946,21 ,Gennadiy Shastitko,URS ,16.32,,2,Leninakan,Oct 02,1967,M
1947,21 ,Giuseppe Gentile,ITA ,16.32,,1,Rome,Nov 04,1967,M
1948,23 ,Nelson Prudencio,BRA ,16.30,,1,Buenos Aires,Oct 13,1967,M
1949,24 ,Günther Zeiss,FRG ,16.29,,1,Stuttgart,May 27,1967,M
1950,25 ,Gunther Krivec,FRG ,16.28,,*,Stuttgart,Aug 06,1967,M
1951,1 ,Petr Nemsovský,TCH ,16.57,i,1,Prague,Mar 12,1967,M
1952,1 ,Viktor Saneyev,URS ,17.39,A,1,Mexico City,Oct 17,1968,M
1953,2 ,Nelson Prudencio,BRA ,17.27,A,2,Mexico City,Oct 17,1968,M
1954,3 ,Giuseppe Gentile,ITA ,17.22,A,3,Mexico City,Oct 17,1968,M
1955,4 ,Phil May,AUS ,17.02,A,6,Mexico City,Oct 17,1968,M
1956,5 ,Pertti Pousi,FIN ,17.00,,1,Kuortane,Jun 23,1968,M
1957,6 ,Jozef Schmidt,POL ,16.89,A,7,Mexico City,Oct 17,1968,M
1958,7 ,Klaus Neumann,GDR ,16.82,,1,Jena,Jun 22,1968,M
1959,8 ,Art Walker,USA ,16.81,,1,Los Angeles,Jun 30,1968,M
1960,9 ,Nikolay Dudkin,URS ,16.77,,2,Leningrad,Jul 21,1968,M
1961,10 ,Mansour Dia,SEN ,16.73,A,8,Mexico City,Oct 17,1968,M
1962,11 ,Aleksandr Zolotaryev,URS ,16.67,,2,Leningrad,Jul 14,1968,M
1963,12 ,Heinz-Günter Schenk,GDR ,16.62,,1,Erfurt,Aug 10,1968,M
1964,13 ,Serban Ciochina,ROU ,16.50,,1,München,Jun 29,1968,M
1965,14 ,Joachim Kugler,FRG ,16.47,,1,Kassel,Sep 07,1968,M
1966,15 ,Georgi Stoikovski,BUL ,16.46,A,9,Mexico City,Oct 17,1968,M
1967,16 ,Henrik Kalocsai,HUN ,16.45,A,10,Mexico City,Oct 17,1968,M
1968,17 ,Zoltan Cziffra,HUN ,16.43,,1,Budapest,Sep 12,1968,M
1969,18 ,Charles Craig,USA ,16.38,,2,Los Angeles,Jun 30,1968,M
1970,19 ,Luis Felipe Areta,ESP ,16.36,,3,Stockholm,Jul 02,1968,M
1971,20 ,Viktor Kravchenko,URS ,16.35,,1,Tallinn,Jul 10,1968,M
1972,20 ,Michael Sauer,FRG ,16.35,,1A,Kassel,Sep 07,1968,M
1973,22 ,Gennadiy Bessonov,URS ,16.34,,1,Dnepropetrovsk,May 30,1968,M
1974,23 ,Dragan Ivanov,HUN ,16.31,,2,Budapest,Jun 15,1968,M
1975,23 ,Anatoliy Kaynov,URS ,16.31,A,3,Leninakan,Aug 18,1968,M
1976,25 ,Siegfried Dähne,GDR ,16.30,,2,Jena,Jun 22,1968,M
1977,1 ,Michael Sauer,FRG ,16.77,i,1,Stuttgart,Mar 02,1968,M
1978,2 ,Charles Craig,USA ,16.50,i,1,Oakland,Feb 24,1968,M
1979,3 ,Luis Felipe Areta,ESP ,16.47,i,3,Madrid,Mar 10,1968,M
1980,1 ,Viktor Saneyev,URS ,17.15,,1,Suhumi,Oct 18,1969,M
1981,2 ,Phil May,AUS ,16.82,,1,Perth,Feb 1,1969,M
1982,3 ,Klaus Neumann,GDR ,16.78,,Q,Athens,Sep 16,1969,M
1983,4 ,Carol Corbu,ROU ,16.76,,Q,Athens,Sep 16,1969,M
1984,5 ,Nikolay Dudkin,URS ,16.68,,*,Chorzów,Jul 13,1969,M
1985,5 ,Zoltan Cziffra,HUN ,16.68,,1,Budapest,Aug 29,1969,M
1986,7 ,Henrik Kalocsai,HUN ,16.65,,2,Budapest,Aug 29,1969,M
1987,8 ,Jörg Drehmel,GDR ,16.64,,1,Sofia,Jun 1,1969,M
1988,9 ,Yukito Muraki,JPN ,16.58,,1,Musashino,Aug 3,1969,M
1989,10 ,Georgi Stoikovski,BUL ,16.57,,1,Sofia,Aug 31,1969,M
1990,11 ,Michael McGrath,AUS ,16.53,,1,Melbourne,Feb 15,1969,M
1991,12 ,Gennadiy Bessonov,URS ,16.50,,2,Kiev,Aug 18,1969,M
1992,13 ,John Craft,USA ,16.38,,1,Ashland,Jun 13,1969,M
1993,14 ,Leonid Potemkin,URS ,16.37,,4,Kiev,Aug 18,1969,M
1994,15 ,Nelson Prudencio,BRA ,16.34,,1,Quito,Oct,1969,M
1995,16 ,Serge Firca,FRA ,16.33,,1,Paris,Jun 11,1969,M
1996,16 ,Viktor Kravchenko,URS ,16.33,,3,Odessa,Jul 02,1969,M
1997,16 ,Pertti Pousi,FIN ,16.33,,1,Stockholm,Jul 02,1969,M
1998,19 ,Dragan Ivanov,HUN ,16.28,,4,Odessa,Jul 02,1969,M
1999,19 ,Valeriy Artyemov,URS ,16.28,,1,Bryansk,Aug 17,1969,M
2000,21 ,Joachim Kugler,FRG ,16.25,,1,Mainz,Jun 24,1969,M
2001,22 ,Jan Broda,TCH ,16.21,,1,Prague,Sep 06,1969,M
2002,23 ,Serban Ciochina,ROU ,16.20,,1,Bucharest,Oct 11,1969,M
2003,24 ,Heinz-Günter Schenk,GDR ,16.19,,2,Berlin,Sep 05,1969,M
2004,25 ,Tony Wadhams,GBR ,16.18,,1,Brno,Jul 06,1969,M
2005,25 ,Gennadiy Shastitko,URS ,16.18,,5,Kiev,Aug 18,1969,M
2006,25 ,Michael Sauer,FRG ,16.18,,1,Hamburg,Sep 28,1969,M
2007,1 ,Viktor Saneyev,URS ,17.34,,1,Suhumi,Oct 17,1970,M
2008,2 ,Jörg Drehmel,GDR ,17.13,,1,Stockholm,Aug 30,1970,M
2009,3 ,Nikolay Dudkin,URS ,17.01,,1,Moscow,Jul 26,1970,M
2010,4 ,Phil May,AUS ,16.89,,1,Perth,Nov 28,1970,M
2011,5 ,Carol Corbu,ROU ,16.76,,1,Athens,Jun 14,1970,M
2012,6 ,Giuseppe Gentile,ITA ,16.72,,1,Sarajevo,Aug 2,1970,M
2013,7 ,Norm Tate,USA ,16.70,,1,Stuttgart,Jul 16,1970,M
2014,8 ,Jozef Schmidt,POL ,16.65,,3,Stockholm,Aug 30,1970,M
2015,9 ,Vladimir Kurkevich,URS ,16.60,,1,Leningrad,Jul 23,1970,M
2016,10 ,Andrzej Lasocki,POL ,16.55,,1,Warsaw,Jun 20,1970,M
2017,10 ,Michael Sauer,FRG ,16.55,,2,Stuttgart,Jul 16,1970,M
2018,12 ,Václav Fiser,TCH ,16.47,,1,Banska Bystrica,Jun 14,1970,M
2019,13 ,Michael McGrath,AUS ,16.44,,1,Adelaide,Jan 03,1970,M
2020,14 ,Henrik Kalocsai,HUN ,16.43,,1,Budapest,Jun 14,1970,M
2021,15 ,Gennadiy Volk,URS ,16.40,,1,Kiev,May 10,1970,M
2022,16 ,Yukito Muraki,JPN ,16.39,,1,Shizuoka,Apr 12,1970,M
2023,17 ,Pedro Perez,CUB ,16.38,,1,Havana,Jan 11,1970,M
2024,18 ,Serge Firca,FRA ,16.37,,1,Lyon,Jun 20,1970,M
2025,19 ,Luis Felipe Areta,ESP ,16.35,,2,Turin,Sep 05,1970,M
2026,19 ,Gennadiy Bessonov,URS ,16.35,,2,Minsk,Sep 12,1970,M
2027,21 ,Juri Liigand,URS ,16.34,,Q,Kiev,Aug 15,1970,M
2028,22 ,Patrick Onyango,KEN ,16.32,,1,Dar-es-Salam,Jun 06,1970,M
2029,23 ,Raymond Prive,FRA ,16.29,,1,Colombes,Jul 09,1970,M
2030,23 ,Nelson Prudencio,BRA ,16.29,,3,Turin,Sep 05,1970,M
2031,25 ,Vasile Dumitrescu,ROU ,16.27,,1,Bucharest,Jul 14,1970,M
2032,25 ,Dragan Ivanov,HUN ,16.27,,2,Sochi,Oct 03,1970,M
2033,1 ,Pedro Perez,CUB ,17.40,A,1,Cali,Aug 5,1971,M
2034,2 ,Viktor Saneyev,URS ,17.29,,1,Madrid,Sep 11,1971,M
2035,3 ,Carol Corbu,ROU ,17.12,,1,Turin,Jun 13,1971,M
2036,4 ,Jörg Drehmel,GDR ,16.93,,2,Turin,Jun 13,1971,M
2037,5 ,Nelson Prudencio,BRA ,16.82,A,2,Cali,Aug 5,1971,M
2038,6 ,Mohinder Singh Gill,IND ,16.79,,1,Fresno,May 8,1971,M
2039,6 ,Heinz-Günter Schenk,GDR ,16.79,,1,Berlin,Jul 23,1971,M
2040,8 ,Michael Sauer,FRG ,16.64,,1,Stuttgart,Jul 11,1971,M
2041,9 ,John Craft,USA ,16.63,,1,Eugene,Jun 26,1971,M
2042,10 ,Dave Smith,USA ,16.60,,2,Eugene,Jun 26,1971,M
2043,11 ,Norm Tate,USA ,16.58,,1,Philadelphia,May 16,1971,M
2044,12 ,Phil May,AUS ,16.56,,1,Brisbane,Mar 14,1971,M
2045,13 ,Václav Fiser,TCH ,16.55,,1,Prague,May 22,1971,M
2046,13 ,Giuseppe Gentile,ITA ,16.55,,3,Turin,Jun 13,1971,M
2047,15 ,Yukito Muraki,JPN ,16.53,,1,Yawata,Nov 03,1971,M
2048,16 ,Eugeniusz Biskupski,POL ,16.52,,1,Helsinki,Sep 12,1971,M
2049,17 ,Gennadiy Bessonov,URS ,16.51,,1,Sukhumi,Oct 17,1971,M
2050,18 ,Mikhail Bariban,URS ,16.48,,1,Moscow,Aug 01,1971,M
2051,19 ,Andrzej Lasocki,POL ,16.47,,1,Warsaw,Oct 03,1971,M
2052,20 ,Robert Reader,USA ,16.42,,2,Seattle,May 22,1971,M
2053,20 ,Siegfried Dähne,GDR ,16.42,,1,Jena,May 29,1971,M
2054,22 ,Zoltan Cziffra,HUN ,16.41,,1,Athens,Jun 13,1971,M
2055,23 ,Nikolay Dudkin,URS ,16.37,,*,Tallinn,Jun 13,1971,M
2056,24 ,Barry McClure,USA ,16.36,,3,Eugene,Jun 26,1971,M
2057,25 ,Anatoliy Boyko,URS ,16.35,,1,Kiev,Jun 20,1971,M
2058,1 ,Viktor Saneyev,URS ,17.44,,1,Suhumi,Oct 18,1972,M
2059,2 ,Jörg Drehmel,GDR ,17.31,,2,München,Sep 4,1972,M
2060,3 ,Carol Corbu,ROU ,17.10,,1,Milan,Jun 17,1972,M
2061,4 ,Dave Smith,USA ,17.07,,2,Eugene,Jul 1,1972,M
2062,5 ,Nelson Prudencio,BRA ,17.05,,3,München,Sep 4,1972,M
2063,6 ,Michal Joachimowski,POL ,16.95,,1,Warsaw,Jun 10,1972,M
2064,7 ,Heinz-Günter Schenk,GDR ,16.94,,2,Potsdam,Jun 15,1972,M
2065,8 ,John Craft,USA ,16.83,,5,München,Sep 4,1972,M
2066,9 ,Gennadiy Bessonov,URS ,16.82,,2,Milan,Jun 17,1972,M
2067,10 ,Pedro Perez,CUB ,16.80,,1,Havanna,May 13,1972,M
2068,10 ,Anatoliy Boyko,URS ,16.80,,1,Yalta,Oct 12,1972,M
2069,12 ,Mansour Dia,SEN ,16.77,,-,München,Sep 04,1972,M
2070,13 ,Giuseppe Gentile,ITA ,16.72,,3,Milan,Jun 17,1972,M
2071,14 ,Toshiaki Inoue,JPN ,16.67,,1,Kagoshima,Oct 27,1972,M
2072,15 ,James Butts,USA ,16.65,,-,Eugene,Jul 01,1972,M
2073,16 ,Yukito Muraki,JPN ,16.63,,1,Shizuoka,Apr 23,1972,M
2074,17 ,Václav Fiser,TCH ,16.62,,1,Prague,Jul 23,1972,M
2075,18 ,Mohinder Singh Gill,IND ,16.58,A,1,El Paso,May 20,1972,M
2076,18 ,Esa Rinne,FIN ,16.58,,1,Helsinki,Aug 20,1972,M
2077,20 ,Nikolay Sinichkin,URS ,16.57,,4,Moscow,Jul 18,1972,M
2078,21 ,Anatoliy Piskulin,URS ,16.56,,2,Sukhumi,Oct 17,1972,M
2079,22 ,Bernard Lamitie,FRA ,16.50,,1,Colombes,Jun 25,1972,M
2080,23 ,Eugeniusz Biskupski,POL ,16.48,,1,Warsaw,May 27,1972,M
2081,24 ,Jiri Vycichlo,TCH ,16.47,,1,Ostrava,Jul 09,1972,M
2082,24 ,Pentti Kuukasjarvi,FIN ,16.47,,1,Joensuu,Aug 13,1972,M
2083,1 ,John Craft,USA ,16.89,i,1,Richmond,Mar 17,1972,M
2084,2 ,Mikhail Bariban,URS ,16.86,i,2,Richmond,Mar 17,1972,M
2085,1 ,Mikhail Bariban,URS ,17.20,,1,Moscow,Aug 19,1973,M
2086,2 ,Viktor Saneyev,URS ,17.12,,1,Suhumi,Oct 17,1973,M
2087,3 ,Michal Joachimowski,POL ,17.06,,1,Warsaw,Jun 2,1973,M
2088,4 ,Gustavo Platt,CUB ,17.00,,1,Havanna,May 5,1973,M
2089,5 ,John Craft,USA ,16.98,,1,Bakersfield,Jun 16,1973,M
2090,6 ,Andrzej Sontag,POL ,16.84,,2,Warsaw,Aug 10,1973,M
2091,7 ,Heinz-Günter Schenk,GDR ,16.79,,1,Dresden,Jul 21,1973,M
2092,8 ,Jörg Drehmel,GDR ,16.76,,3,Moscow,Aug 19,1973,M
2093,8 ,Nikolay Sinichkin,URS ,16.76,,2,Baku,Sep 30,1973,M
2094,10 ,Mikhail Segal,URS ,16.70,,3,Suhumi,Oct 17,1973,M
2095,11 ,Stanislav Penyayev,URS ,16.67,,1,Alushta,Sep 28,1973,M
2096,12 ,Bernard Lamitie,FRA ,16.65,,1,Paris,Jul 22,1973,M
2097,13 ,Eugeniusz Biskupski,POL ,16.64,,1,Warsaw,Jul 01,1973,M
2098,14 ,Barry McClure,USA ,16.57,,2,Bakersfield,Jun 16,1973,M
2099,15 ,Caleb Abdul Rahman,USA ,16.56,,1,Turin,Jul 18,1973,M
2100,16 ,Mansour Dia,SEN ,16.53,,1,Lagos,Jan 17,1973,M
2101,17 ,Anatoliy Boyko,URS ,16.52,,1,Sankt Peterburg,Jun 16,1973,M
2102,18 ,James Butts,USA ,16.51,,1,Dakar,Aug 05,1973,M
2103,19 ,Armando Herrera,CUB ,16.50,,2,Havanna,May 05,1973,M
2104,19 ,Gennadiy Bessonov,URS ,16.50,,3,Moscow,Jul 12,1973,M
2105,19 ,Gennadiy Bessonov,URS ,16.50,,3,Moscow,Jul 12,1973,M
2106,22 ,Dave Tucker,USA ,16.48,,2,Fresno CA,May 11,1973,M
2107,23 ,Pentti Kuukasjarvi,FIN ,16.46,,1,Helsinki,Jun 18,1973,M
2108,23 ,Serban Ciochina,ROU ,16.46,,1,Athens,Jul 01,1973,M
2109,25 ,Michael McGrath,AUS ,16.43,,1,Sydney,Oct 28,1973,M
2110,1 ,Carol Corbu,ROU ,16.91,i,1,Bucharest,Feb 10,1973,M
2111,1 ,Viktor Saneyev,URS ,17.23,,1,Rome,Sep 8,1974,M
2112,2 ,Jörg Drehmel,GDR ,17.06,,1,Potsdam,Jun 13,1974,M
2113,3 ,Michal Joachimowski,POL ,16.87,,1,Warsaw,Jul 19,1974,M
2114,4 ,Pedro Perez,CUB ,16.83,,1,Santo Domingo,Mar 9,1974,M
2115,4 ,Nikolay Sinichkin,URS ,16.83,,1,Moscow,Jun 22,1974,M
2116,6 ,Charlton Ehizuelen,NGR ,16.82,,1,Des Moines,Apr 27,1974,M
2117,7 ,Milan Spasojevic,YUG ,16.77,,2,Bratislava,May 30,1974,M
2118,8 ,Clarence Taylor,USA ,16.76,,1,Westwood,Mar 17,1974,M
2119,9 ,Mikhail Segal,URS ,16.74,,2,Moscow,Jun 26,1974,M
2120,9 ,Stanislav Penyayev,URS ,16.74,,1,Baku,Sep 29,1974,M
2121,11 ,Mohinder Singh Gill,IND ,16.68,,1,Fresno,May 11,1974,M
2122,11 ,Carol Corbu,ROU ,16.68,,2,Rome,Sep 08,1974,M
2123,11 ,Jiri Vycichlo,TCH ,16.68,,1,Innsbruck,Sep 14,1974,M
2124,14 ,Anatoliy Piskulin,URS ,16.64,,2,Moscow,Jun 22,1974,M
2125,15 ,Andrzej Sontag,POL ,16.63,,1,Augsburg,Jul 13,1974,M
2126,15 ,Sergey Sidoryenko,URS ,16.63,,2,Moscow,Aug 18,1974,M
2127,17 ,Lothar Gora,GDR ,16.60,,2,Stockholm,Jun 09,1974,M
2128,18 ,Ryszard Garnys,POL ,16.52,,2,Warsaw,Jun 30,1974,M
2129,19 ,Apostolos Kathiniotis,GRE ,16.51,,1,Athens,Jun 13,1974,M
2130,19 ,Armando Herrera,CUB ,16.51,,2,Potsdam,Jun 13,1974,M
2131,21 ,Joshua Owusu,GHA ,16.50,,1,Chrischurch,Feb 02,1974,M
2132,21 ,James Butts,USA ,16.50,,3,Fresno CA,May 11,1974,M
2133,23 ,Ken McBryde,USA ,16.49,,2,Austin TX,Jun 08,1974,M
2134,23 ,Toshiaki Inoue,JPN ,16.49,,1,Kasamatsu,Oct 25,1974,M
2135,25 ,Sergeiy Chaplygin,URS ,16.47,,1,Dresden,Sep 14,1974,M
2136,1 ,Michal Joachimowski,POL ,17.03,i,1,Göteborg,Mar 09,1974,M
2137,2 ,Mikhail Bariban,URS ,16.88,i,2,Göteborg,Mar 09,1974,M
2138,1 ,Joao Carlos De Oliveira,BRA ,17.89,A,1,Mexico City,Oct 15,1975,M
2139,2 ,Viktor Saneyev,URS ,17.33,,1,Moscow,Jul 30,1975,M
2140,3 ,Tommy Haynes,USA ,17.20,A,2,Mexico City,Oct 15,1975,M
2141,4 ,Jörg Drehmel,GDR ,16.98,,1,Dresden,Jun 22,1975,M
2142,4 ,Caleb Abdul Rahman,USA ,16.98,A,3,Mexico City,Oct 15,1975,M
2143,6 ,Andrzej Sontag,POL ,16.96,,1,Bydgoszcz,Aug 3,1975,M
2144,7 ,Nelson Prudencio,BRA ,16.93,,1,Rio de Janeiro,Sep 6,1975,M
2145,8 ,Pentti Kuukasjarvi,FIN ,16.87,,1,Helsinki,Aug 31,1975,M
2146,9 ,Carol Corbu,ROU ,16.82,,1,Bucharest,Aug 10,1975,M
2147,10 ,Anatoliy Piskulin,URS ,16.81,,2,Kiev,Jul 4,1975,M
2148,11 ,Willie Banks,USA ,16.79,,1,Westwood,May 03,1975,M
2149,12 ,Adam Adamek,POL ,16.75,,1,Lublin,Oct 05,1975,M
2150,13 ,Lothar Gora,GDR ,16.74,,2,Dresden,Jun 22,1975,M
2151,14 ,Eugeniusz Biskupski,POL ,16.73,A,1,Mexico City,Sep 28,1975,M
2152,15 ,Bernard Lamitie,FRA ,16.72,,1,Saint-Maur,Jul 30,1975,M
2153,16 ,Armando Herrera,CUB ,16.70,A,1,Mexico City,Jun 13,1975,M
2154,16 ,Anthony Terry,USA ,16.70,,1,Eugene,Jun 21,1975,M
2155,16 ,Christian Valétudie,FRA ,16.70,,2,Nice,Aug 17,1975,M
2156,19 ,Nikolay Sinichkin,URS ,16.68,,2,Moscow,Jul 30,1975,M
2157,19 ,Mikhail Segal,URS ,16.68,,1,Sukhumi,Sep 06,1975,M
2158,21 ,Gustavo Platt,CUB ,16.62,A,5,Mexico City,Oct 15,1975,M
2159,22 ,Václav Fiser,TCH ,16.61,,1,Turin,Jul 13,1975,M
2160,23 ,Sergey Sidoryenko,URS ,16.58,,1,Donetsk,Aug 15,1975,M
2161,24 ,Tom Cochee,USA ,16.57,,4,Fresno CA,May 10,1975,M
2162,25 ,Michael McGrath,AUS ,16.56,,1,Sydney,Jan 27,1975,M
2163,1 ,Michal Joachimowski,POL ,16.90,i,2,Katowice,Mar 08,1975,M
2164,2 ,Arnold Grimes,USA ,16.86,i,1,Detroit,Mar 14,1975,M
2165,1 ,Joao Carlos De Oliveira,BRA ,17.38,,1,Rio de Janeiro,Aug 26,1976,M
2166,2 ,Viktor Saneyev,URS ,17.29,,1,Montreal,Jul 30,1976,M
2167,3 ,James Butts,USA ,17.18,,2,Montreal,Jul 30,1976,M
2168,4 ,Tommy Haynes,USA ,16.90,,2,Rio de Janeiro,Aug 26,1976,M
2169,5 ,Jiri Vycichlo,TCH ,16.87,,1,Prague,May 16,1976,M
2170,6 ,Michal Joachimowski,POL ,16.86,,1,Bydgoszcz,Jun 27,1976,M
2171,7 ,Andrzej Sontag,POL ,16.81,,2,Bydgoszcz,Jun 27,1976,M
2172,7 ,Pedro Perez,CUB ,16.81,,4,Montreal,Jul 30,1976,M
2173,9 ,Bernard Lamitie,FRA ,16.80,,1,Lille,Jun 27,1976,M
2174,10 ,Armando Herrera,CUB ,16.77,,1,Havanna,May,1976,M
2175,11 ,Rayfield Dupree,USA ,16.76,,Q,Eugene,Jun 25,1976,M
2176,12 ,Ron Livers,USA ,16.74,,1,Walnut,Apr 24,1976,M
2177,13 ,Eugeniusz Biskupski,POL ,16.73,,1,Bydgoszcz,Jun 22,1976,M
2178,14 ,Phil Robbins,BAH ,16.72,,Q,Philadelphia,Jun 04,1976,M
2179,15 ,Anatoliy Piskulin,URS ,16.71,,1,Leningrad,Sep 12,1976,M
2180,16 ,Bedros Bedrosian,ROU ,16.69,,1,Bucharest,Oct 02,1976,M
2181,17 ,Wolfgang Kolmsee,FRG ,16.68,,Q,Montreal,Jul 29,1976,M
2182,18 ,Willie Banks,USA ,16.66,,3,Westwood,Jun 12,1976,M
2183,19 ,Caleb Abdul Rahman,USA ,16.65,,2,Walnut,Apr 24,1976,M
2184,19 ,Ed Lennex,USA ,16.65,,7,Eugene,Jun 26,1976,M
2185,21 ,John Craft,USA ,16.61,,-,Eugene,Jun 26,1976,M
2186,21 ,Apostolos Kathiniotis,GRE ,16.61,,1,Athens,Jul 01,1976,M
2187,23 ,Don Commons,AUS ,16.60,,1,Melbourne,Mar 18,1976,M
2188,23 ,Aleksandr Yakovlyev,URS ,16.60,,1,Zaporozhye,Aug 22,1976,M
2189,23 ,Zou Zhen Xhien,CHN ,16.60,,-,Beijing,Oct 06,1976,M
2190,1 ,Tommy Haynes,USA ,16.90,i,1,New York,Feb 27,1976,M
2191,1 ,Ron Livers,USA ,17.19,,1,Sochi,Jul 1,1977,M
2192,2 ,Anatoliy Piskulin,URS ,17.04,,2,Sochi,Jul 1,1977,M
2193,3 ,Viktor Saneyev,URS ,16.90,,3,Sochi,Jul 1,1977,M
2194,3 ,Juan Velasquez,CUB ,16.90,,4,Sofia,Aug 22,1977,M
2195,5 ,Willie Banks,USA ,16.88,,4,Westwood,Jun 11,1977,M
2196,6 ,Aleksandr Yakovlyev,URS ,16.83,,5,Sofia,Aug 22,1977,M
2197,7 ,James Butts,USA ,16.82,,4,Sochi,Jul 1,1977,M
2198,8 ,Caleb Abdul Rahman,USA ,16.81,,1,Walnut,Apr 24,1977,M
2199,8 ,Joao Carlos De Oliveira,BRA ,16.81,,1,Guadalaraja,Aug 11,1977,M
2200,10 ,Gennadiy Kovtunov,URS ,16.78,,1,Sochi,May 29,1977,M
2201,11 ,Mikhail Segal,URS ,16.75,,1,Baku,Sep 25,1977,M
2202,12 ,Tommy Haynes,USA ,16.72,,5,Westwood,Jun 11,1977,M
2203,13 ,Klaus Hufnagel,GDR ,16.69,,1,Dresden,Jul 02,1977,M
2204,13 ,Milan Spasojevic,YUG ,16.69,A,1,Ankara,Sep 11,1977,M
2205,15 ,Pedro Perez,CUB ,16.67,,1,La Habana,Mar 06,1977,M
2206,15 ,Carol Corbu,ROU ,16.67,A,2,Ankara,Sep 11,1977,M
2207,17 ,Bernard Lamitie,FRA ,16.64,,1,Pointe-á-Pitre,Mar 07,1977,M
2208,17 ,Christian Valétudie,FRA ,16.64,,1,Nice,Jul 17,1977,M
2209,19 ,Arnold Grimes,USA ,16.63,,Q,Champaign,Jun 03,1977,M
2210,20 ,Charlton Ehizuelen,NGR ,16.62,,-,Champaign,Jun 04,1977,M
2211,21 ,Ian Campbell,AUS ,16.60,,-,Champaign,Jun 04,1977,M
2212,21 ,Gennadiy Valyukievich,URS ,16.60,,1,Donyetsk,Aug 19,1977,M
2213,21 ,Zou Zhen Xhien,CHN ,16.60,,1,Canton,Nov 02,1977,M
2214,24 ,Vladimir Brigadniy,URS ,16.59,,1,Prague,Jun 21,1977,M
2215,25 ,Michal Joachimowski,POL ,16.58,,1,Bydgoszcz,Jun 18,1977,M
2216,1 ,Tommy Haynes,USA ,16.84,i,1,Toronto,Mar 04,1977,M
2217,1 ,Joao Carlos De Oliveira,BRA ,17.44,,1,Bratislava,Jun 10,1978,M
2218,2 ,James Butts,USA ,17.24,,1,Helsinki,Jun 29,1978,M
2219,3 ,Ron Livers,USA ,17.15,,1,Eugene,Jun 3,1978,M
2220,4 ,Anatoliy Piskulin,URS ,17.07,,1,Vilnius,Jun 24,1978,M
2221,5 ,Willie Banks,USA ,17.05,,2,Westwood,May 7,1978,M
2222,6 ,Viktor Saneyev,URS ,17.03,,1,Tbilisi,Sep 16,1978,M
2223,7 ,Gennadiy Valyukievich,URS ,17.02,,1,Vilnius,Jul 20,1978,M
2224,8 ,Aleksandr Lisichonok,URS ,17.00,,1,Kishinjev,Aug 18,1978,M
2225,9 ,Gennadiy Kovtunov,URS ,16.94,,3,Kishinjev,Aug 18,1978,M
2226,9 ,Milos Srejovic,YUG ,16.94,,1,Prague,Sep 3,1978,M
2227,11 ,Bernard Lamitie,FRA ,16.92,,1,Fort-de-France,May 06,1978,M
2228,12 ,Zou Zhen Xhien,CHN ,16.90,,1,Tokyo,Sep 10,1978,M
2229,13 ,Aleksandr Yakovlyev,UKR ,16.89,,1,Turin,Jun 04,1978,M
2230,14 ,Jaak Uudmae,URS ,16.86,,3,Tbilisi,Sep 16,1978,M
2231,15 ,Keith Connor,GBR ,16.76,,-,Edmonton,Aug 12,1978,M
2232,16 ,Robert Cannon,USA ,16.75,,Q,Eugene,Jun 02,1978,M
2233,17 ,Ian Campbell,AUS ,16.74,,1,Pullman,Jul 23,1978,M
2234,17 ,Vyacheslav Shekhovtsev,URS ,16.74,,6,Kishinjev,Aug 18,1978,M
2235,19 ,Gustavo Platt,CUB ,16.69,,1,La Habana,Mar 11,1978,M
2236,19 ,Aston Moore,GBR ,16.69,,3,Edmonton,Aug 12,1978,M
2237,21 ,Paul Jordan,USA ,16.68,,Q,Westwood,Jun 09,1978,M
2238,22 ,Mikhail Segal,URS ,16.67,,2,Sochi,May 28,1978,M
